Energia_eV	Cuentas	Cuentas_norm	Error_Energia_eV	Error_Intensidad
7619.25376510	129.00000000	0.01513374	0.20000000	0.00134250
7619.53803502	151.00000000	0.01771469	0.20000000	0.00145431
7619.82377691	167.00000000	0.01959174	0.20000000	0.00153083
7620.11099106	155.00000000	0.01818395	0.20000000	0.00147379
7620.39967772	144.00000000	0.01689348	0.20000000	0.00141963
7620.68983719	157.00000000	0.01841858	0.20000000	0.00148344
7620.98146973	164.00000000	0.01923979	0.20000000	0.00151676
7621.27457564	155.00000000	0.01818395	0.20000000	0.00147379
7621.56915519	153.00000000	0.01794932	0.20000000	0.00146408
7621.86520866	151.00000000	0.01771469	0.20000000	0.00145431
7622.16273635	182.00000000	0.02135148	0.20000000	0.00159948
7622.46173853	171.00000000	0.02006100	0.20000000	0.00154941
7622.76221549	177.00000000	0.02076490	0.20000000	0.00157691
7623.06416752	185.00000000	0.02170343	0.20000000	0.00161289
7623.36759491	196.00000000	0.02299390	0.20000000	0.00166120
7623.67249796	205.00000000	0.02404974	0.20000000	0.00169979
7623.97887696	199.00000000	0.02334585	0.20000000	0.00167415
7624.28673219	213.00000000	0.02498827	0.20000000	0.00173343
7624.59606396	207.00000000	0.02428437	0.20000000	0.00170825
7624.90687257	237.00000000	0.02780385	0.20000000	0.00183099
7625.21915831	198.00000000	0.02322853	0.20000000	0.00166984
7625.53292149	243.00000000	0.02850774	0.20000000	0.00185466
7625.84816240	258.00000000	0.03026748	0.20000000	0.00191268
7626.16488136	238.00000000	0.02792116	0.20000000	0.00183495
7626.48307865	247.00000000	0.02897701	0.20000000	0.00187029
7626.80275460	284.00000000	0.03331769	0.20000000	0.00200971
7627.12390950	290.00000000	0.03402159	0.20000000	0.00203152
7627.44654368	291.00000000	0.03413890	0.20000000	0.00203513
7627.77065743	335.00000000	0.03930080	0.20000000	0.00218902
7628.09625107	299.00000000	0.03507743	0.20000000	0.00206385
7628.42332491	313.00000000	0.03671985	0.20000000	0.00211329
7628.75187927	332.00000000	0.03894885	0.20000000	0.00217883
7629.08191447	355.00000000	0.04164711	0.20000000	0.00225596
7629.41343082	370.00000000	0.04340685	0.20000000	0.00230507
7629.74642864	372.00000000	0.04364148	0.20000000	0.00231155
7630.08090825	423.00000000	0.04962459	0.20000000	0.00247197
7630.41686998	424.00000000	0.04974191	0.20000000	0.00247503
7630.75431415	453.00000000	0.05314406	0.20000000	0.00256242
7631.09324108	493.00000000	0.05783670	0.20000000	0.00267910
7631.43365110	505.00000000	0.05924449	0.20000000	0.00271332
7631.77554454	571.00000000	0.06698733	0.20000000	0.00289570
7632.11892173	562.00000000	0.06593149	0.20000000	0.00287137
7632.46378300	621.00000000	0.07285312	0.20000000	0.00302812
7632.81012868	636.00000000	0.07461286	0.20000000	0.00306698
7633.15795911	672.00000000	0.07883623	0.20000000	0.00315878
7633.50727462	740.00000000	0.08681370	0.20000000	0.00332698
7633.85807554	724.00000000	0.08493665	0.20000000	0.00328797
7634.21036223	803.00000000	0.09420460	0.20000000	0.00347747
7634.56413500	907.00000000	0.10640544	0.20000000	0.00371636
7634.91939422	925.00000000	0.10851713	0.20000000	0.00375663
7635.27614022	1036.00000000	0.12153918	0.20000000	0.00399893
7635.63437334	1021.00000000	0.11977945	0.20000000	0.00396676
7635.99409393	1081.00000000	0.12681840	0.20000000	0.00409446
7636.35530234	1134.00000000	0.13303613	0.20000000	0.00420518
7636.71799892	1253.00000000	0.14699672	0.20000000	0.00444747
7637.08218401	1266.00000000	0.14852182	0.20000000	0.00447345
7637.44785798	1272.00000000	0.14922572	0.20000000	0.00448542
7637.81502116	1351.00000000	0.15849366	0.20000000	0.00464121
7638.18367392	1436.00000000	0.16846551	0.20000000	0.00480553
7638.55381661	1349.00000000	0.15825903	0.20000000	0.00463730
7638.92544959	1406.00000000	0.16494603	0.20000000	0.00474791
7639.29857322	1533.00000000	0.17984514	0.20000000	0.00498931
7639.67318786	1543.00000000	0.18101830	0.20000000	0.00500804
7640.04929387	1594.00000000	0.18700141	0.20000000	0.00510301
7640.42689162	1617.00000000	0.18969967	0.20000000	0.00514553
7640.80598146	1771.00000000	0.20776631	0.20000000	0.00542572
7641.18656377	1771.00000000	0.20776631	0.20000000	0.00542572
7641.56863892	1805.00000000	0.21175504	0.20000000	0.00548659
7641.95220726	1922.00000000	0.22548099	0.20000000	0.00569359
7642.33726919	2025.00000000	0.23756452	0.20000000	0.00587291
7642.72382506	2137.00000000	0.25070389	0.20000000	0.00606507
7643.11187525	2199.00000000	0.25797748	0.20000000	0.00617029
7643.50142014	2343.00000000	0.27487095	0.20000000	0.00641174
7643.89246010	2379.00000000	0.27909432	0.20000000	0.00647150
7644.28499551	2638.00000000	0.30947912	0.20000000	0.00689514
7644.67902675	2874.00000000	0.33716565	0.20000000	0.00727265
7645.07455421	2970.00000000	0.34842797	0.20000000	0.00742418
7645.47157826	3175.00000000	0.37247771	0.20000000	0.00774428
7645.87009929	3373.00000000	0.39570624	0.20000000	0.00804937
7646.27011769	3656.00000000	0.42890662	0.20000000	0.00847933
7646.67163384	4039.00000000	0.47383857	0.20000000	0.00905146
7647.07464813	4159.00000000	0.48791647	0.20000000	0.00922870
7647.47916096	4571.00000000	0.53625059	0.20000000	0.00983090
7647.88517271	5021.00000000	0.58904270	0.20000000	0.01047899
7648.29268377	5633.00000000	0.66083998	0.20000000	0.01134724
7648.70169455	6212.00000000	0.72876584	0.20000000	0.01215739
7649.11220544	6945.00000000	0.81475833	0.20000000	0.01317049
7649.52421684	7695.00000000	0.90274519	0.20000000	0.01419552
7649.93772914	8315.00000000	0.97548099	0.20000000	0.01503572
7650.35274275	8524.00000000	1.00000000	0.20000000	0.01531769
7650.76925806	8282.00000000	0.97160957	0.20000000	0.01499114
7651.18727549	7842.00000000	0.91999061	0.20000000	0.01439526
7651.60679544	6602.00000000	0.77451901	0.20000000	0.01269798
7652.02781832	5562.00000000	0.65251056	0.20000000	0.01124719
7652.45034453	4161.00000000	0.48815110	0.20000000	0.00923164
7652.87437448	3360.00000000	0.39418114	0.20000000	0.00802945
7653.29990859	2642.00000000	0.30994838	0.20000000	0.00690160
7653.72694727	2149.00000000	0.25211168	0.20000000	0.00608550
7654.15549093	1750.00000000	0.20530267	0.20000000	0.00538795
7654.58553999	1425.00000000	0.16717504	0.20000000	0.00478445
7655.01709486	1210.00000000	0.14195214	0.20000000	0.00436087
7655.45015598	1141.00000000	0.13385734	0.20000000	0.00421967
7655.88472374	981.00000000	0.11508681	0.20000000	0.00388012
7656.32079859	861.00000000	0.10100892	0.20000000	0.00361205
7656.75838094	776.00000000	0.09103707	0.20000000	0.00341356
7657.19747121	646.00000000	0.07578602	0.20000000	0.00309269
7657.63806984	676.00000000	0.07930549	0.20000000	0.00316885
7658.08017725	572.00000000	0.06710465	0.20000000	0.00289840
7658.52379387	527.00000000	0.06182543	0.20000000	0.00277516
7658.96892013	473.00000000	0.05549038	0.20000000	0.00262129
7659.41555647	451.00000000	0.05290943	0.20000000	0.00255647
7659.86370332	409.00000000	0.04798217	0.20000000	0.00242882
7660.31336111	385.00000000	0.04516659	0.20000000	0.00235331
7660.76453029	352.00000000	0.04129517	0.20000000	0.00224603
7661.21721128	344.00000000	0.04035664	0.20000000	0.00221936
7661.67140454	319.00000000	0.03742374	0.20000000	0.00213417
7662.12711051	284.00000000	0.03331769	0.20000000	0.00200971
7662.58432962	269.00000000	0.03155795	0.20000000	0.00195425
7663.04306232	256.00000000	0.03003285	0.20000000	0.00190503
7663.50330907	212.00000000	0.02487095	0.20000000	0.00172926
7663.96507030	217.00000000	0.02545753	0.20000000	0.00175003
7664.42834646	192.00000000	0.02252464	0.20000000	0.00164378
7664.89313802	190.00000000	0.02229000	0.20000000	0.00163501
7665.35944541	169.00000000	0.01982637	0.20000000	0.00154015
7665.82726910	151.00000000	0.01771469	0.20000000	0.00145431
7666.29660954	139.00000000	0.01630690	0.20000000	0.00139436
7666.76746719	143.00000000	0.01677616	0.20000000	0.00141461
7667.23984251	127.00000000	0.01489911	0.20000000	0.00133189
7667.71373595	116.00000000	0.01360863	0.20000000	0.00127210
