Energia_eV	Cuentas	Cuentas_norm	Error_Energia_eV	Error_Intensidad
7619.25376510	202.00000000	0.01570884	0.20000000	0.00111392
7619.53803502	216.00000000	0.01679757	0.20000000	0.00115249
7619.82377691	213.00000000	0.01656427	0.20000000	0.00114433
7620.11099106	202.00000000	0.01570884	0.20000000	0.00111392
7620.39967772	212.00000000	0.01648651	0.20000000	0.00114159
7620.68983719	221.00000000	0.01718641	0.20000000	0.00116597
7620.98146973	226.00000000	0.01757524	0.20000000	0.00117932
7621.27457564	245.00000000	0.01905280	0.20000000	0.00122878
7621.56915519	255.00000000	0.01983047	0.20000000	0.00125408
7621.86520866	246.00000000	0.01913057	0.20000000	0.00123133
7622.16273635	265.00000000	0.02060813	0.20000000	0.00127893
7622.46173853	279.00000000	0.02169687	0.20000000	0.00131297
7622.76221549	274.00000000	0.02130803	0.20000000	0.00130091
7623.06416752	276.00000000	0.02146357	0.20000000	0.00130575
7623.36759491	288.00000000	0.02239676	0.20000000	0.00133444
7623.67249796	294.00000000	0.02286336	0.20000000	0.00134858
7623.97887696	300.00000000	0.02332996	0.20000000	0.00136258
7624.28673219	282.00000000	0.02193017	0.20000000	0.00132016
7624.59606396	291.00000000	0.02263006	0.20000000	0.00134152
7624.90687257	320.00000000	0.02488529	0.20000000	0.00140833
7625.21915831	320.00000000	0.02488529	0.20000000	0.00140833
7625.53292149	336.00000000	0.02612956	0.20000000	0.00144399
7625.84816240	351.00000000	0.02729606	0.20000000	0.00147671
7626.16488136	358.00000000	0.02784042	0.20000000	0.00149175
7626.48307865	408.00000000	0.03172875	0.20000000	0.00159553
7626.80275460	385.00000000	0.02994012	0.20000000	0.00154856
7627.12390950	396.00000000	0.03079555	0.20000000	0.00157118
7627.44654368	408.00000000	0.03172875	0.20000000	0.00159553
7627.77065743	417.00000000	0.03242865	0.20000000	0.00161358
7628.09625107	436.00000000	0.03390621	0.20000000	0.00165111
7628.42332491	474.00000000	0.03686134	0.20000000	0.00172402
