Energía_eV	Cuentas	Cuentas_norm	Error energía	Error intensidad
7619.25376510	99.00000000	0.01666106	0.20000000	0.00168839
7619.53803502	100.00000000	0.01682935	0.20000000	0.00169704
7619.82377691	93.00000000	0.01565130	0.20000000	0.00163562
7620.11099106	105.00000000	0.01767082	0.20000000	0.00173967
7620.39967772	91.00000000	0.01531471	0.20000000	0.00161766
7620.68983719	102.00000000	0.01716594	0.20000000	0.00171421
7620.98146973	105.00000000	0.01767082	0.20000000	0.00173967
7621.27457564	124.00000000	0.02086839	0.20000000	0.00189349
7621.56915519	111.00000000	0.01868058	0.20000000	0.00178957
7621.86520866	107.00000000	0.01800740	0.20000000	0.00175645
7622.16273635	113.00000000	0.01901717	0.20000000	0.00180592
7622.46173853	97.00000000	0.01632447	0.20000000	0.00167097
7622.76221549	121.00000000	0.02036351	0.20000000	0.00186998
7623.06416752	134.00000000	0.02255133	0.20000000	0.00196998
7623.36759491	113.00000000	0.01901717	0.20000000	0.00180592
7623.67249796	146.00000000	0.02457085	0.20000000	0.00205833
7623.97887696	127.00000000	0.02137327	0.20000000	0.00191673
7624.28673219	123.00000000	0.02070010	0.20000000	0.00188568
7624.59606396	145.00000000	0.02440256	0.20000000	0.00205110
7624.90687257	140.00000000	0.02356109	0.20000000	0.00201460
7625.21915831	143.00000000	0.02406597	0.20000000	0.00203657
7625.53292149	175.00000000	0.02945136	0.20000000	0.00225886
7625.84816240	151.00000000	0.02541232	0.20000000	0.00209414
7626.16488136	166.00000000	0.02793672	0.20000000	0.00219839
7626.48307865	186.00000000	0.03130259	0.20000000	0.00233086
7626.80275460	190.00000000	0.03197577	0.20000000	0.00235656
7627.12390950	197.00000000	0.03315382	0.20000000	0.00240095
7627.44654368	200.00000000	0.03365870	0.20000000	0.00241975
7627.77065743	182.00000000	0.03062942	0.20000000	0.00230491
7628.09625107	190.00000000	0.03197577	0.20000000	0.00235656
7628.42332491	221.00000000	0.03719286	0.20000000	0.00254796
7628.75187927	228.00000000	0.03837092	0.20000000	0.00258947
7629.08191447	212.00000000	0.03567822	0.20000000	0.00249372
7629.41343082	225.00000000	0.03786604	0.20000000	0.00257175
7629.74642864	237.00000000	0.03988556	0.20000000	0.00264201
7630.08090825	245.00000000	0.04123191	0.20000000	0.00268797
7630.41686998	302.00000000	0.05082464	0.20000000	0.00299803
7630.75431415	281.00000000	0.04729047	0.20000000	0.00288705
7631.09324108	303.00000000	0.05099293	0.20000000	0.00300323
7631.43365110	336.00000000	0.05654662	0.20000000	0.00317089
7631.77554454	307.00000000	0.05166611	0.20000000	0.00302396
7632.11892173	347.00000000	0.05839785	0.20000000	0.00322520
7632.46378300	351.00000000	0.05907102	0.20000000	0.00324477
7632.81012868	387.00000000	0.06512959	0.20000000	0.00341684
7633.15795911	398.00000000	0.06698081	0.20000000	0.00346806
7633.50727462	461.00000000	0.07758331	0.20000000	0.00375097
7633.85807554	505.00000000	0.08498822	0.20000000	0.00393936
7634.21036223	491.00000000	0.08263211	0.20000000	0.00388015
7634.56413500	562.00000000	0.09458095	0.20000000	0.00417407
7634.91939422	538.00000000	0.09054191	0.20000000	0.00407643
7635.27614022	608.00000000	0.10232245	0.20000000	0.00435686
7635.63437334	630.00000000	0.10602491	0.20000000	0.00444242
7635.99409393	664.00000000	0.11174689	0.20000000	0.00457251
7636.35530234	672.00000000	0.11309323	0.20000000	0.00460275
7636.71799892	738.00000000	0.12420061	0.20000000	0.00484750
7637.08218401	832.00000000	0.14002020	0.20000000	0.00518305
7637.44785798	824.00000000	0.13867385	0.20000000	0.00515502
7637.81502116	786.00000000	0.13227869	0.20000000	0.00502060
7638.18367392	833.00000000	0.14018849	0.20000000	0.00518655
7638.55381661	918.00000000	0.15449344	0.20000000	0.00547879
7638.92544959	917.00000000	0.15432514	0.20000000	0.00547540
7639.29857322	920.00000000	0.15483002	0.20000000	0.00548555
7639.67318786	1017.00000000	0.17115449	0.20000000	0.00580811
7640.04929387	1073.00000000	0.18057893	0.20000000	0.00598983
7640.42689162	1122.00000000	0.18882531	0.20000000	0.00614643
7640.80598146	1178.00000000	0.19824975	0.20000000	0.00632286
7641.18656377	1174.00000000	0.19757657	0.20000000	0.00631034
7641.56863892	1232.00000000	0.20733760	0.20000000	0.00649063
7641.95220726	1241.00000000	0.20885224	0.20000000	0.00651838
7642.33726919	1320.00000000	0.22214743	0.20000000	0.00675952
7642.72382506	1406.00000000	0.23662067	0.20000000	0.00701743
7643.11187525	1531.00000000	0.25765735	0.20000000	0.00738476
7643.50142014	1619.00000000	0.27246718	0.20000000	0.00763861
7643.89246010	1604.00000000	0.26994278	0.20000000	0.00759559
7644.28499551	1702.00000000	0.28643554	0.20000000	0.00787483
7644.67902675	1838.00000000	0.30932346	0.20000000	0.00825588
7645.07455421	1970.00000000	0.33153820	0.20000000	0.00861940
7645.47157826	2092.00000000	0.35207001	0.20000000	0.00895051
7645.87009929	2236.00000000	0.37630427	0.20000000	0.00933599
7646.27011769	2506.00000000	0.42174352	0.20000000	0.01004543
7646.67163384	2637.00000000	0.44378997	0.20000000	0.01038423
7647.07464813	2759.00000000	0.46432178	0.20000000	0.01069699
7647.47916096	2942.00000000	0.49511949	0.20000000	0.01116160
7647.88517271	3241.00000000	0.54543925	0.20000000	0.01191058
7648.29268377	3697.00000000	0.62218108	0.20000000	0.01303292
7648.70169455	4092.00000000	0.68865702	0.20000000	0.01398962
7649.11220544	4439.00000000	0.74705486	0.20000000	0.01482051
7649.52421684	5099.00000000	0.85812858	0.20000000	0.01638128
7649.93772914	5641.00000000	0.94934366	0.20000000	0.01764776
7650.35274275	5942.00000000	1.00000000	0.20000000	0.01834631
7650.76925806	5915.00000000	0.99545608	0.20000000	0.01828377
7651.18727549	5480.00000000	0.92224840	0.20000000	0.01727279
7651.60679544	4750.00000000	0.79939414	0.20000000	0.01555884
7652.02781832	3936.00000000	0.66240323	0.20000000	0.01361329
7652.45034453	3079.00000000	0.51817570	0.20000000	0.01150623
7652.87437448	2358.00000000	0.39683608	0.20000000	0.00965855
7653.29990859	1841.00000000	0.30982834	0.20000000	0.00826421
7653.72694727	1446.00000000	0.24335241	0.20000000	0.00713590
7654.15549093	1200.00000000	0.20195220	0.20000000	0.00639148
7654.58553999	1075.00000000	0.18091552	0.20000000	0.00599627
7655.01709486	816.00000000	0.13732750	0.20000000	0.00512690
7655.45015598	801.00000000	0.13480310	0.20000000	0.00507392
7655.88472374	676.00000000	0.11376641	0.20000000	0.00461783
7656.32079859	567.00000000	0.09542242	0.20000000	0.00419421
7656.75838094	497.00000000	0.08364187	0.20000000	0.00390561
7657.19747121	453.00000000	0.07623696	0.20000000	0.00371595
7657.63806984	445.00000000	0.07489061	0.20000000	0.00368069
7658.08017725	370.00000000	0.06226860	0.20000000	0.00333646
7658.52379387	321.00000000	0.05402221	0.20000000	0.00309560
7658.96892013	341.00000000	0.05738808	0.20000000	0.00319567
7659.41555647	292.00000000	0.04914170	0.20000000	0.00294561
7659.86370332	259.00000000	0.04358802	0.20000000	0.00276683
7660.31336111	255.00000000	0.04291484	0.20000000	0.00274449
7660.76453029	229.00000000	0.03853921	0.20000000	0.00259535
7661.21721128	230.00000000	0.03870751	0.20000000	0.00260122
7661.67140454	188.00000000	0.03163918	0.20000000	0.00234374
7662.12711051	174.00000000	0.02928307	0.20000000	0.00225221
7662.58432962	182.00000000	0.03062942	0.20000000	0.00230491
7663.04306232	180.00000000	0.03029283	0.20000000	0.00229184
7663.50330907	158.00000000	0.02659037	0.20000000	0.00214336
7663.96507030	133.00000000	0.02238304	0.20000000	0.00196246
7664.42834646	136.00000000	0.02288792	0.20000000	0.00198496
7664.89313802	111.00000000	0.01868058	0.20000000	0.00178957
7665.35944541	112.00000000	0.01884887	0.20000000	0.00179776
7665.82726910	105.00000000	0.01767082	0.20000000	0.00173967
7666.29660954	109.00000000	0.01834399	0.20000000	0.00177308
7666.76746719	103.00000000	0.01733423	0.20000000	0.00172273
7667.23984251	99.00000000	0.01666106	0.20000000	0.00168839
7667.71373595	93.00000000	0.01565130	0.20000000	0.00163562
