Energia_eV	Cuentas	Cuentas_norm	Error_Energia_eV	Error_Intensidad
7618.94338821	66.00000000	0.01736385	0.20000000	0.00215582
7619.22604251	69.00000000	0.01815312	0.20000000	0.00220513
7619.51016849	80.00000000	0.02104709	0.20000000	0.00237777
7619.79576641	93.00000000	0.02446725	0.20000000	0.00256799
7620.08283655	69.00000000	0.01815312	0.20000000	0.00220513
7620.37137919	75.00000000	0.01973165	0.20000000	0.00230078
7620.66139461	72.00000000	0.01894238	0.20000000	0.00225343
7620.95288308	75.00000000	0.01973165	0.20000000	0.00230078
7621.24584487	76.00000000	0.01999474	0.20000000	0.00231637
7621.54028029	81.00000000	0.02131018	0.20000000	0.00239289
7621.83618960	82.00000000	0.02157327	0.20000000	0.00240793
7622.13357309	74.00000000	0.01946856	0.20000000	0.00228510
7622.43243105	71.00000000	0.01867929	0.20000000	0.00223743
7622.73276377	81.00000000	0.02131018	0.20000000	0.00239289
7623.03457153	77.00000000	0.02025783	0.20000000	0.00233186
7623.33785462	90.00000000	0.02367798	0.20000000	0.00252525
7623.64261333	68.00000000	0.01789003	0.20000000	0.00218880
7623.94884797	75.00000000	0.01973165	0.20000000	0.00230078
7624.25655881	96.00000000	0.02525651	0.20000000	0.00261008
7624.56574617	86.00000000	0.02262562	0.20000000	0.00246723
7624.87641033	90.00000000	0.02367798	0.20000000	0.00252525
7625.18855159	97.00000000	0.02551960	0.20000000	0.00262398
7625.50217026	87.00000000	0.02288871	0.20000000	0.00248185
7625.81726664	117.00000000	0.03078137	0.20000000	0.00288920
7626.13384103	126.00000000	0.03314917	0.20000000	0.00300171
7626.45189373	114.00000000	0.02999211	0.20000000	0.00285083
7626.77142505	132.00000000	0.03472770	0.20000000	0.00307470
7627.09243530	108.00000000	0.02841358	0.20000000	0.00277267
7627.41492478	134.00000000	0.03525388	0.20000000	0.00309869
7627.73889382	130.00000000	0.03420153	0.20000000	0.00305054
7628.06434271	131.00000000	0.03446461	0.20000000	0.00306264
7628.39127177	153.00000000	0.04025257	0.20000000	0.00331908
7628.71968133	149.00000000	0.03920021	0.20000000	0.00327375
7629.04957168	142.00000000	0.03735859	0.20000000	0.00319309
7629.38094316	152.00000000	0.03998948	0.20000000	0.00330779
7629.71379608	141.00000000	0.03709550	0.20000000	0.00318142
7630.04813076	205.00000000	0.05393318	0.20000000	0.00386710
7630.38394753	175.00000000	0.04604052	0.20000000	0.00355955
7630.72124670	201.00000000	0.05288082	0.20000000	0.00382728
7631.06002860	195.00000000	0.05130229	0.20000000	0.00376689
7631.40029356	194.00000000	0.05103920	0.20000000	0.00375675
7631.74204191	233.00000000	0.06129966	0.20000000	0.00413713
7632.08527398	217.00000000	0.05709024	0.20000000	0.00398463
7632.42999009	240.00000000	0.06314128	0.20000000	0.00420246
7632.77619058	270.00000000	0.07103394	0.20000000	0.00447389
7633.12387578	260.00000000	0.06840305	0.20000000	0.00438487
7633.47304603	296.00000000	0.07787424	0.20000000	0.00469929
7633.82370167	344.00000000	0.09050250	0.20000000	0.00509559
7634.17584303	307.00000000	0.08076822	0.20000000	0.00479223
7634.52947045	383.00000000	0.10076296	0.20000000	0.00540192
7634.88458428	391.00000000	0.10286767	0.20000000	0.00546326
7635.24118486	448.00000000	0.11786372	0.20000000	0.00588756
7635.59927252	417.00000000	0.10970797	0.20000000	0.00565945
7635.95884763	483.00000000	0.12707182	0.20000000	0.00613835
7636.31991051	478.00000000	0.12575638	0.20000000	0.00610293
7636.68246153	475.00000000	0.12496711	0.20000000	0.00608161
7637.04650103	544.00000000	0.14312023	0.20000000	0.00656066
7637.41202937	532.00000000	0.13996317	0.20000000	0.00647893
7637.77904689	565.00000000	0.14864509	0.20000000	0.00670223
7638.14755395	569.00000000	0.14969745	0.20000000	0.00672899
7638.51755091	637.00000000	0.16758748	0.20000000	0.00717491
7638.88903813	599.00000000	0.15759011	0.20000000	0.00692776
7639.26201596	656.00000000	0.17258616	0.20000000	0.00729670
7639.63648476	660.00000000	0.17363852	0.20000000	0.00732219
7640.01244490	691.00000000	0.18179426	0.20000000	0.00751817
7640.38989673	693.00000000	0.18232044	0.20000000	0.00753072
7640.76884064	781.00000000	0.20547224	0.20000000	0.00807247
7641.14927697	834.00000000	0.21941594	0.20000000	0.00838998
7641.53120610	842.00000000	0.22152065	0.20000000	0.00843740
7641.91462839	934.00000000	0.24572481	0.20000000	0.00897401
7642.29954423	908.00000000	0.23888450	0.20000000	0.00882390
7642.68595397	952.00000000	0.25046041	0.20000000	0.00907728
7643.07385800	994.00000000	0.26151013	0.20000000	0.00931624
7643.46325669	1086.00000000	0.28571429	0.20000000	0.00983081
7643.85415042	1076.00000000	0.28308340	0.20000000	0.00977543
7644.24653956	1211.00000000	0.31860037	0.20000000	0.01051310
7644.64042449	1293.00000000	0.34017364	0.20000000	0.01095171
7645.03580560	1316.00000000	0.34622468	0.20000000	0.01107360
7645.43268327	1458.00000000	0.38358327	0.20000000	0.01181636
7645.83105788	1517.00000000	0.39910550	0.20000000	0.01212049
7646.23092982	1569.00000000	0.41278611	0.20000000	0.01238659
7646.63229947	1698.00000000	0.44672455	0.20000000	0.01303959
7647.03516723	1866.00000000	0.49092344	0.20000000	0.01387668
7647.43953348	2073.00000000	0.54538279	0.20000000	0.01489086
7647.84539862	2214.00000000	0.58247830	0.20000000	0.01557255
7648.25276303	2477.00000000	0.65167061	0.20000000	0.01682778
7648.66162712	2837.00000000	0.74638253	0.20000000	0.01851832
7649.07199128	3018.00000000	0.79400158	0.20000000	0.01935856
7649.48385591	3411.00000000	0.89739542	0.20000000	0.02116518
7649.89722141	3687.00000000	0.97000789	0.20000000	0.02242191
7650.31208817	3801.00000000	1.00000000	0.20000000	0.02293856
7650.72845660	3679.00000000	0.96790318	0.20000000	0.02238561
7651.14632711	3405.00000000	0.89581689	0.20000000	0.02113776
7651.56570009	2746.00000000	0.72244146	0.20000000	0.01809359
7651.98657597	2299.00000000	0.60484083	0.20000000	0.01598040
7652.40895513	1754.00000000	0.46145751	0.20000000	0.01332018
7652.83283800	1377.00000000	0.36227309	0.20000000	0.01139466
7653.25822499	1065.00000000	0.28018942	0.20000000	0.00971436
7653.68511650	921.00000000	0.24230466	0.20000000	0.00889910
