
2025-12-02 21:45:49.436802

motor1 motor2 cuentas tiempo(s) c/s(1/s)
-450 -900 44 50 0.88
-445 -890 31 50 0.62
-440 -880 52 50 1.04
-435 -870 36 50 0.72
-430 -860 35 50 0.7
-425 -850 40 50 0.8
-420 -840 49 50 0.98
-415 -830 54 50 1.08
-410 -820 56 50 1.12
-405 -810 54 50 1.08
-400 -800 57 50 1.14
-395 -790 55 50 1.1
-390 -780 55 50 1.1
-385 -770 55 50 1.1
-380 -760 58 50 1.16
-375 -750 65 50 1.3
-370 -740 66 50 1.32
-365 -730 61 50 1.22
-360 -720 75 50 1.5
-355 -710 58 50 1.16
-350 -700 64 50 1.28
-345 -690 78 50 1.56
-340 -680 62 50 1.24
-335 -670 70 50 1.4
-330 -660 83 50 1.66
-325 -650 85 50 1.7
-320 -640 70 50 1.4
-315 -630 83 50 1.66
-310 -620 77 50 1.54
-305 -610 87 50 1.74
-300 -600 96 50 1.92
-295 -590 102 50 2.04
-290 -580 106 50 2.12
-285 -570 99 50 1.98
-280 -560 106 50 2.12
-275 -550 126 50 2.52
-270 -540 128 50 2.56
-265 -530 153 50 3.06
-260 -520 124 50 2.48
-255 -510 119 50 2.38
-250 -500 148 50 2.96
-245 -490 145 50 2.9
-240 -480 148 50 2.96
-235 -470 161 50 3.22
-230 -460 173 50 3.46
-225 -450 193 50 3.86
-220 -440 173 50 3.46
-215 -430 182 50 3.64
-210 -420 201 50 4.02
-205 -410 206 50 4.12
-200 -400 220 50 4.4
-195 -390 258 50 5.16
-190 -380 250 50 5.0
-185 -370 261 50 5.22
-180 -360 259 50 5.18
-175 -350 291 50 5.82
-170 -340 314 50 6.28
-165 -330 296 50 5.92
-160 -320 324 50 6.48
-155 -310 346 50 6.92
-150 -300 345 50 6.9
-145 -290 374 50 7.48
-140 -280 354 50 7.08
-135 -270 389 50 7.78
-130 -260 376 50 7.52
-125 -250 376 50 7.52
-120 -240 388 50 7.76
-115 -230 399 50 7.98
-110 -220 381 50 7.62
-105 -210 375 50 7.5
-100 -200 433 50 8.66
-95 -190 430 50 8.6
-90 -180 483 50 9.66
-85 -170 458 50 9.16
-80 -160 506 50 10.12
-75 -150 512 50 10.24
-70 -140 521 50 10.42
-65 -130 554 50 11.08
-60 -120 647 50 12.94
-55 -110 690 50 13.8
-50 -100 766 50 15.32
-45 -90 877 50 17.54
-40 -80 986 50 19.72
-35 -70 1211 50 24.22
-30 -60 1428 50 28.56
-25 -50 1704 50 34.08
-20 -40 2028 50 40.56
-15 -30 2420 50 48.4
-10 -20 2689 50 53.78
-5 -10 2914 50 58.28
0 0 2936 50 58.72
5 10 2901 50 58.02
10 20 2464 50 49.28
15 30 2126 50 42.52
20 40 1691 50 33.82
25 50 1294 50 25.88
30 60 1037 50 20.74
35 70 816 50 16.32
40 80 661 50 13.22
45 90 551 50 11.02
50 100 485 50 9.7
55 110 388 50 7.76
60 120 303 50 6.06
65 130 292 50 5.84
70 140 236 50 4.72
75 150 243 50 4.86
80 160 186 50 3.72
85 170 168 50 3.36
90 180 158 50 3.16
95 190 158 50 3.16
100 200 109 50 2.18
105 210 101 50 2.02
110 220 90 50 1.8
115 230 110 50 2.2
120 240 91 50 1.82
125 250 77 50 1.54
130 260 67 50 1.34
135 270 74 50 1.48
140 280 55 50 1.1
145 290 73 50 1.46
150 300 60 50 1.2
155 310 61 50 1.22
160 320 45 50 0.9
165 330 56 50 1.12
170 340 43 50 0.86
175 350 57 50 1.14
180 360 38 50 0.76
185 370 39 50 0.78
190 380 54 50 1.08
195 390 33 50 0.66
200 400 22 50 0.44
